age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
27,183.9,60.6,1788.0,1.6,0.9,461.0,10000.0,500.0
38,182.2,92.7,2125.0,1.6,0.93,786.0,10000.0,500.0
24,172.9,42.6,1389.0,1.0,0.6,518.0,793.17,1366.7152302536567
31,151.7,72.7,2850.0,3.6,0.89,601.6,10000.0,500.0
30,153.3,66.0,1809.0,4.0,0.28,763.0,5000.0,500.0
24,171.2,80.3,4370.0,1.4,0.15,804.0,10000.0,7915.101090898372
20,161.2,37.6,4778.0,0.0,0.4,582.6,4387.318,28396.908742389693
72,171.5,97.1,725.0,2.6,0.8,543.6,10000.0,18632.93584235897
19,169.3,79.9,2124.0,2.6,0.53,511.0,5000.0,500.0
49,160.0,72.3,3422.0,2.4,0.6,640.0,3472.5559999999996,14326.37709078331
47,188.7,73.5,3838.0,2.0,0.5,516.4,5000.0,500.0
29,167.4,70.9,660.0,2.6,0.64,499.0,8000.0,500.0
64,169.6,60.7,2071.0,3.0,0.6,509.4,10000.0,16528.519173978777
75,178.4,54.2,2714.0,2.4,0.88,734.0,10000.0,4704.9737016730005
39,190.1,82.8,2783.0,1.0,0.83,357.0,577.66,12733.330382969947
60,162.6,77.6,1788.0,3.8,0.56,726.0,5000.0,10540.674784050036
31,181.1,69.4,2600.0,5.0,0.98,521.0,5000.0,6156.501558240514
26,159.7,99.5,3008.0,4.0,0.05,484.0,3586.4399999999996,500.0
28,160.2,92.5,500.0,0.0,0.4,805.0,5000.0,500.0
21,168.4,71.1,3695.0,4.0,0.17,777.0,5000.0,22775.8955135935
70,172.9,70.9,3304.0,3.8,0.28,497.0,5000.0,8853.723228062805
42,185.9,57.8,897.0,2.4,0.05,563.4,5000.0,11778.343548052928
62,184.7,67.1,4278.0,5.0,0.7,455.0,10000.0,31072.702663736723
37,181.5,91.8,3072.0,2.2,0.56,373.0,4280.982,21531.409941811824
34,174.5,75.3,2537.0,0.0,0.97,492.6,10000.0,500.0
37,164.1,74.1,4525.0,2.0,0.81,761.0,949.24,10946.391315339892
30,163.1,84.3,1295.0,2.2,0.52,638.4,3529.1,500.0
75,176.9,66.4,1859.0,4.0,0.02,525.8,547.03,500.0
34,181.6,66.8,1566.0,5.0,0.28,418.0,5214.352000000001,1992.4825524566777
55,172.2,91.8,3929.0,5.0,0.4,506.0,3398.922,15002.912094814255
32,143.5,82.1,3770.0,3.0,0.4,457.4,5244.148,500.0
71,175.2,71.9,4747.0,1.8,0.12,400.0,5000.0,500.0
44,168.8,56.1,3214.0,2.0,0.82,402.0,4078.096,10488.968596578909
70,169.1,75.5,4602.0,1.8,0.36,609.4,7089.002,28770.26971420019
60,165.9,67.6,3203.0,2.4,0.12,440.0,944.44,500.0
70,165.1,77.1,3865.0,3.0,0.52,612.0,1128.66,37282.162849122215
54,180.3,75.4,1851.0,2.0,0.67,607.2,348.33,10767.439217607673
61,160.7,83.0,1598.0,2.4,0.39,321.0,10000.0,24759.669493278125
56,177.9,61.9,1770.0,3.0,0.83,352.0,185.52,4161.441442592443
33,168.1,88.1,1083.0,4.0,0.49,619.8,10000.0,20879.755904736496
63,183.7,56.2,3127.0,2.2,0.17,679.4,5000.0,14801.426364952236
33,193.2,42.5,3041.0,1.0,0.66,586.2,627.58,11145.183005926978
34,163.0,81.6,2741.0,0.0,0.6,573.0,3652.31,500.0
47,167.4,59.2,3059.0,2.0,0.69,670.2,6376.86,28698.200373046937
26,184.2,77.3,2663.0,2.0,0.51,843.0,748.46,500.0
46,168.0,66.4,3361.0,2.2,0.65,634.4,10000.0,16872.53990370362
40,155.4,82.9,2530.0,2.6,0.7,454.0,10000.0,500.0
43,177.3,83.2,2660.0,2.2,0.53,837.0,926.62,37114.160550787055
55,168.4,80.0,500.0,4.0,0.97,718.0,559.26,29358.177695611375
18,158.6,77.5,2023.0,0.0,0.89,506.8,1032.32,500.0
62,171.4,77.2,904.0,5.0,0.29,561.0,1065.43,6712.726721442828
45,173.3,68.6,568.0,4.0,0.51,404.2,10000.0,500.0
29,175.2,69.5,3624.0,0.0,0.21,651.2,1073.5,500.0
30,170.6,54.3,2285.0,3.0,0.07,664.0,5000.0,24341.030046911295
74,159.7,95.8,1823.0,0.0,0.26,489.6,5000.0,9958.305010076558
42,173.8,71.8,2040.0,3.0,0.29,521.0,10000.0,15699.8867602253
23,177.7,66.9,1059.0,2.8,0.72,531.8,4345.836,500.0
41,179.5,65.6,2321.0,1.0,0.53,680.8,5000.0,15785.751255071553
30,179.1,71.9,5481.0,2.4,0.08,307.0,5000.0,22240.901666635506
23,162.2,72.1,3627.0,2.4,0.77,631.8,3459.1440000000002,500.0
74,171.8,61.8,1216.0,1.0,0.79,582.4,5000.0,11292.029477601953
22,190.0,63.9,1731.0,2.0,0.25,429.6,5000.0,4529.690297241665
71,155.9,37.0,4762.0,4.0,0.03,396.0,1486.62,500.0
41,175.3,73.0,3480.0,3.0,0.86,640.0,10000.0,17264.275901828485
18,168.4,73.9,4463.0,2.2,0.15,747.0,5394.482,500.0
18,170.9,61.7,1668.0,2.4,0.83,514.0,1149.82,25390.88273988203
36,193.8,73.4,974.0,3.6,0.18,569.8,650.62,500.0
41,154.1,97.5,1993.0,3.0,0.47,384.0,4343.258,1281.9229939424142
59,156.8,75.3,3359.0,2.2,0.58,611.2,4147.634,500.0
18,162.9,79.1,2863.0,2.4,0.34,513.4,1064.25,4124.384923241231
52,163.6,39.3,2217.0,3.0,0.59,652.2,5000.0,1703.2091550614111
44,159.6,84.8,3603.0,2.0,0.34,554.0,5083.654,18161.86602584039
64,170.7,71.5,3097.0,2.2,0.83,445.6,5000.0,500.0
40,169.0,63.5,2140.0,3.0,0.09,480.4,798.03,500.0
73,178.7,79.1,2777.0,2.2,0.32,358.0,1172.07,500.0
56,181.1,72.0,1075.0,3.0,0.41,533.4,10000.0,10667.772211678155
36,174.3,56.6,3619.0,1.0,0.43,593.8,10000.0,13279.43790734672
34,174.1,67.6,2597.0,1.0,0.3,575.4,1552.97,14865.32774958236
29,178.3,77.1,3152.0,2.0,0.88,470.8,4355.446,2426.265552876417
25,164.8,42.6,3243.0,1.6,0.56,483.0,522.19,500.0
59,172.1,66.4,1484.0,2.6,0.25,486.0,5000.0,17717.330429437272
41,165.8,82.8,1797.0,3.0,0.31,447.0,283.86,10146.957094539635
74,151.8,51.9,2986.0,0.0,0.74,543.2,5000.0,11837.808210233152
24,165.3,66.9,1930.0,3.0,0.32,599.0,948.83,10379.81877962131
73,166.9,69.0,4771.0,0.0,0.47,630.0,4244.16,19719.5017886146
60,167.8,39.7,2600.0,2.0,0.26,539.6,10000.0,500.0
22,189.5,92.8,1878.0,3.2,0.93,598.8,4231.003999999999,500.0
75,160.8,68.2,4778.0,0.0,0.64,614.0,5000.0,8980.312053464007
75,160.7,89.3,2248.0,0.0,0.02,489.0,10000.0,500.0
41,163.7,84.2,3039.0,2.0,0.92,719.0,883.63,500.0
40,171.7,58.2,1899.0,5.0,0.11,342.0,5087.662,500.0
39,163.6,40.5,3230.0,2.6,0.31,517.2,10000.0,500.0
47,179.2,67.9,3789.0,3.0,0.68,377.0,5148.742,18509.20677497533
57,174.0,83.7,4207.0,1.0,0.78,718.0,8000.0,21549.82401911197
69,181.4,37.9,1435.0,2.6,0.24,304.0,3402.6,500.0
32,172.4,46.2,1861.0,3.4,0.78,621.4,5000.0,500.0
74,179.6,79.9,1998.0,3.0,0.59,774.0,6067.652,500.0
55,185.8,54.9,602.0,4.0,0.35,593.2,10000.0,5428.047793885788
40,177.6,85.5,3474.0,4.0,0.71,496.0,1278.27,16752.789752354092
56,160.5,66.6,1908.0,5.0,0.47,318.0,5000.0,20423.84320730014
57,176.5,77.0,1176.0,0.0,0.32,597.6,5134.755999999999,500.0
38,160.2,57.8,3112.0,2.4,0.7,822.0,623.38,500.0
33,167.5,38.5,2377.0,1.6,0.44,646.0,5000.0,18901.259369115334
48,156.8,77.6,4010.0,2.0,0.57,719.2,10000.0,39817.45533572756
59,174.4,62.1,2448.0,0.6,0.33,601.0,10000.0,500.0
41,172.6,62.4,4319.0,5.0,0.08,520.8,7229.744000000001,500.0
43,153.2,69.8,4897.0,0.0,0.27,768.0,10000.0,35962.04802835945
45,168.0,58.7,4231.0,2.0,0.06,550.2,5000.0,500.0
61,167.0,57.3,2261.0,3.0,0.73,762.0,734.6,24528.67112085739
21,162.0,79.6,645.0,4.0,0.03,818.0,10000.0,500.0
22,160.4,73.5,3191.0,3.2,0.74,605.6,10000.0,3639.7413556351794
75,147.7,54.3,2452.0,4.0,0.49,380.0,5208.5,500.0
60,164.2,79.5,2571.0,2.0,0.41,686.8,10000.0,33049.468422152735
44,150.0,57.9,4154.0,1.8,0.76,569.4,5000.0,10656.8885958248
21,179.9,48.9,969.0,3.2,0.02,554.2,731.72,500.0
29,178.0,76.3,3121.0,1.0,0.72,701.0,5000.0,7051.1771065952
25,166.1,82.6,3384.0,2.2,0.65,630.0,10000.0,500.0
68,185.4,56.5,2285.0,1.0,0.21,792.0,10000.0,2724.9198051534495
27,157.7,52.5,2483.0,2.0,0.99,666.0,33.29,26282.620988748466
72,157.2,64.2,2466.0,2.0,0.16,801.0,5094.446,5070.610961595275
72,162.2,54.9,2684.0,1.6,0.78,546.2,5000.0,15080.08702060483
35,178.6,70.5,4243.0,2.0,0.02,359.0,10000.0,14306.900020371317
44,154.9,67.5,2265.0,2.8,0.22,572.6,10000.0,6693.74203294808
23,153.4,74.9,3055.0,2.8,0.35,385.0,5184.634,1798.0125221383746
42,170.7,87.0,1203.0,1.6,0.38,512.4,9000.0,10497.778053549608
62,165.3,86.1,4340.0,2.0,0.7,698.0,1004.67,500.0
23,170.3,91.7,1676.0,3.0,0.04,657.0,10000.0,500.0
23,170.8,46.7,531.0,1.0,0.96,601.6,6192.476000000001,500.0
22,157.9,31.8,1733.0,3.6,0.64,611.6,1411.64,6372.475344505444
37,166.2,85.2,2743.0,5.0,0.49,477.2,3403.228,16741.9804046619
27,160.6,71.5,500.0,2.0,0.23,742.8,5195.352000000001,14504.604268333092
49,156.9,68.6,1711.0,5.0,0.53,491.2,5269.252,500.0
27,142.79999999999995,57.3,3193.0,2.0,0.07,593.4,4238.584,17151.38822035942
59,172.6,70.3,3498.0,3.8,0.86,335.0,459.59,12032.654325077505
41,177.4,82.0,1882.0,5.0,0.2,570.6,2591.0180000000005,28685.37160497041
45,162.2,46.1,1084.0,4.0,0.98,820.0,10000.0,500.0
73,159.2,67.1,2345.0,1.2,0.86,346.0,6287.6720000000005,500.0
43,161.9,56.7,2740.0,4.0,0.1,486.0,773.51,6726.144540197254
60,165.8,64.5,1704.0,4.2,0.3,614.6,5000.0,500.0
57,173.2,54.9,871.0,2.6,0.47,706.0,3425.4979999999996,500.0
64,171.3,71.2,2589.0,1.6,0.7,599.0,8000.0,20212.703427559845
49,181.9,72.9,1127.0,3.2,0.22,830.0,8036.139999999999,5504.582746306162
68,181.6,81.4,1526.0,3.0,0.49,359.0,7000.0,8878.890939012841
23,162.8,42.8,1797.0,1.0,0.04,595.0,546.16,500.0
40,155.4,74.5,2165.0,1.0,0.84,846.0,887.1,500.0
72,171.1,60.4,2676.0,1.6,0.46,647.0,5000.0,10124.44495985712
68,161.0,63.5,2107.0,5.0,0.84,694.6,688.7,8921.973730630438
32,163.8,76.0,2063.0,3.4,0.38,597.4,854.72,6035.446018551712
48,188.6,81.7,1290.0,5.0,0.49,331.0,10000.0,8255.660172817976
75,164.3,65.9,1313.0,2.6,0.85,805.0,1260.4,5083.612822428259
57,171.0,39.3,1029.0,3.0,0.52,700.2,10000.0,500.0
75,175.4,79.0,2362.0,4.0,0.39,491.0,5000.0,500.0
62,178.4,66.8,3735.0,3.0,0.4,517.4,4430.264,500.0
37,171.7,82.7,2379.0,2.8,0.21,487.0,3198.358,500.0
63,170.2,47.8,2170.0,3.0,0.15,549.0,902.3,16629.25199108691
70,180.8,86.5,5731.125,5.0,0.62,511.4,7142.5199999999995,29125.106077604298
51,150.6,81.2,3353.0,3.0,0.86,681.6,8133.942,29651.483306242993
31,176.9,72.0,1599.0,2.6,0.35,593.8,5000.0,500.0
31,170.0,51.7,1814.0,2.6,0.07,689.8,7286.752,38558.79613385785
21,172.5,75.1,609.0,3.0,1.0,672.2,723.68,500.0
20,179.9,73.5,3332.0,5.0,0.03,660.0,6096.832,14791.054255033709
56,161.2,92.0,2204.0,2.2,0.81,641.0,5000.0,24690.30817151772
42,166.9,85.5,3099.0,2.0,0.73,511.4,4494.22,14232.322333697375
55,182.7,74.8,1771.0,0.0,0.09,301.0,5000.0,500.0
25,156.3,82.4,5431.0,3.2,0.29,505.0,5000.0,27702.156529405507
67,176.1,75.2,2979.0,4.0,0.56,376.0,6209.4980000000005,30331.9324936551
49,180.4,66.0,3192.0,1.8,0.35,566.2,621.78,500.0
47,168.4,66.8,3877.0,4.0,0.69,537.6,780.64,26198.455079027182
68,169.2,93.5,2128.0,3.0,0.18,470.4,8000.0,500.0
19,152.9,55.7,1772.0,3.0,0.42,628.4,10000.0,12454.328982490384
65,176.8,59.5,5181.0,4.0,0.56,586.6,10000.0,14858.463980839962
75,160.0,66.5,3746.0,3.2,0.73,727.8,1002.34,16415.71124195981
53,178.0,43.5,2952.0,0.0,0.03,630.0,1101.41,24462.730419394706
59,151.6,78.3,500.0,3.0,0.38,542.4,672.52,500.0
20,171.6,88.3,500.0,2.0,0.2,624.6,921.64,500.0
34,176.9,43.0,1863.0,4.0,0.92,604.4,5220.842,14449.054890309168
54,164.4,80.1,1363.0,4.0,0.44,478.4,10000.0,500.0
73,159.4,69.4,3806.0,3.0,0.29,563.0,7037.045999999999,500.0
67,164.9,64.9,951.0,1.4,0.35,329.0,5000.0,500.0
25,170.7,79.9,500.0,2.4,0.26,509.8,10000.0,500.0
66,151.8,58.3,2612.0,1.0,0.25,541.0,1616.31,500.0
69,185.7,71.8,936.0,2.0,0.28,490.8,7226.566000000001,500.0
59,168.4,72.7,1251.0,4.0,0.86,710.0,926.12,4878.545755190827
35,154.3,90.8,614.0,5.0,0.95,632.4,821.99,500.0
40,173.7,61.6,1899.0,3.8,0.31,312.0,1414.5,23223.68674933023
64,156.4,52.9,1541.0,1.0,0.33,633.0,5246.13,500.0
55,147.3,95.3,1440.0,2.0,0.06,636.0,948.67,32053.702626437243
51,189.5,66.6,4944.0,1.0,0.92,483.6,10000.0,500.0
43,161.7,70.8,1103.0,2.0,0.69,633.8,10000.0,500.0
36,168.7,94.1,2002.0,0.0,0.23,651.0,5000.0,9001.546015414096
72,161.5,47.1,4216.0,1.8,0.29,476.0,10000.0,500.0
23,166.6,66.8,2582.0,3.0,0.83,518.8,5000.0,10903.397392817302
67,155.8,61.9,863.0,2.6,0.65,323.0,10000.0,500.0
26,165.8,83.7,3895.0,2.8,0.61,642.6,5222.052000000001,3166.058998466729
70,170.0,68.5,500.0,1.2,0.92,796.0,548.48,24181.38134356665
64,161.4,69.0,3318.0,5.0,0.61,486.8,10000.0,2720.813788949977
49,172.1,68.2,500.0,2.6,0.5,618.2,5000.0,500.0
69,173.4,51.2,1817.0,1.6,0.15,301.0,10000.0,500.0
22,169.2,93.2,1224.0,1.6,0.23,601.8,5000.0,11196.8709848394
19,157.9,61.6,2237.0,1.6,0.62,619.2,10000.0,4057.591842683427
38,169.3,96.0,3210.0,3.0,0.26,779.0,10000.0,30089.662669880072
22,173.5,61.9,796.0,3.0,0.88,469.6,3439.3779999999997,10822.827044993295
63,186.8,70.6,3885.0,3.0,0.5,617.2,10000.0,15757.66361823247
56,170.1,74.4,898.0,2.8,0.02,630.0,5246.794,500.0
47,160.5,48.4,3582.0,5.0,0.12,480.4,724.76,3735.658720627448
46,173.9,58.2,2047.0,2.6,0.1,833.0,957.57,15966.5991061799
49,179.8,43.1,3214.0,2.2,0.55,788.0,303.13,7056.806036648549
56,180.2,72.9,500.0,0.0,0.14,476.6,7000.0,500.0
51,172.0,76.7,3527.0,5.0,0.03,581.6,654.46,500.0
22,160.1,71.0,2450.0,2.0,0.86,791.0,10000.0,500.0
30,172.0,45.4,2893.0,0.0,0.05,505.2,793.96,500.0
57,171.9,88.1,4262.0,3.0,0.89,729.0,10000.0,500.0
51,184.7,62.0,2926.0,2.0,0.42,629.0,5000.0,35758.18072081153
34,170.4,86.6,2399.0,5.0,0.01,818.0,5000.0,11737.23847284871
71,169.8,73.9,1287.0,2.0,0.63,800.0,10000.0,2814.1386162062663
28,178.2,72.8,1768.0,2.0,0.71,830.0,4212.57,500.0
20,157.0,67.8,1559.0,1.6,0.79,605.2,10000.0,500.0
65,162.2,82.4,2632.0,2.2,0.57,591.6,5000.0,11759.638243193413
63,179.7,93.6,2798.0,2.2,0.9,733.8,656.99,14866.76807385541
67,160.3,73.4,3409.0,4.0,0.87,635.4,5133.884,18711.663584529637
40,170.3,74.4,3130.0,0.4,0.82,731.0,7100.054000000001,500.0
74,169.1,76.3,1899.0,2.0,0.41,496.0,5000.0,20814.697568663774
21,169.3,74.0,3444.0,3.4,0.23,831.0,5000.0,500.0
32,150.5,66.6,2603.0,2.6,0.35,510.8,10000.0,30210.987049606567
75,184.8,58.6,3656.0,3.0,0.22,594.0,10000.0,3066.137791409429
37,158.0,66.9,4084.0,3.0,0.52,748.0,10000.0,9573.778332032196
24,180.3,99.8,2306.0,2.0,0.23,849.0,10000.0,4554.810431805047
47,173.5,75.8,2384.0,3.4,0.22,588.0,5000.0,6829.661938726994
23,158.8,44.8,1713.0,0.0,0.58,803.0,3494.322,500.0
44,162.3,45.4,1962.0,1.0,0.7,363.0,10000.0,500.0
35,153.7,76.8,2789.0,4.0,0.64,638.2,5000.0,29152.59717199099
40,180.5,85.9,3336.0,1.4,0.21,606.6,5000.0,500.0
57,160.5,80.2,2623.0,2.0,0.54,562.0,10000.0,4383.465051415476
41,179.0,35.9,2699.0,5.0,0.33,441.0,1668.0579999999998,8620.740440969317
68,177.0,86.3,3059.0,4.0,0.75,554.0,5000.0,500.0
23,163.3,61.0,2360.0,3.2,0.87,349.0,10000.0,500.0
43,147.0,69.5,4971.0,2.2,0.36,511.4,10000.0,25883.89703555264
21,172.1,54.2,500.0,3.0,0.22,665.2,10000.0,2571.4279977966503
44,167.9,74.2,3485.0,2.4,0.78,500.0,5000.0,6950.6917501230155
75,156.9,88.8,989.0,2.0,0.26,843.0,5091.706,12906.990479801343
32,178.3,78.4,2538.0,2.0,0.91,458.0,3458.8160000000003,21288.40814422946
30,164.7,69.6,2830.0,3.0,0.26,616.0,805.29,7501.263720832778
23,157.2,47.2,3583.0,0.0,0.39,529.0,615.43,13702.678326689054
35,159.0,59.6,2107.0,2.6,0.34,553.6,5000.0,500.0
32,172.2,63.9,4405.0,2.0,0.48,621.8,853.79,500.0
58,181.8,86.9,962.0,5.0,0.87,557.6,5000.0,14356.8655104378
62,186.6,78.8,3271.0,5.0,0.22,679.4,5000.0,17984.913231590494
53,173.3,55.2,699.0,4.0,0.82,521.0,989.81,9786.53291738366
48,175.2,72.0,4371.0,1.4,0.52,589.0,5000.0,500.0
32,177.5,71.4,1464.0,5.0,0.76,391.0,420.05,500.0
19,178.3,47.7,4022.0,3.0,0.53,474.0,5224.954,20399.310471048295
50,175.3,69.6,2020.0,3.8,0.08,701.0,718.47,500.0
39,156.5,74.0,5025.0,2.0,0.38,448.6,10000.0,28688.895789414644
29,153.8,60.9,4116.0,5.0,0.42,611.0,5000.0,32226.988031995697
58,165.6,56.9,3767.0,3.2,0.32,537.0,4318.7080000000005,500.0
68,158.3,87.4,3955.0,4.0,0.94,604.6,933.28,10639.305587861045
39,174.2,43.4,1808.0,2.4,0.76,494.2,766.8,5630.096497060186
31,187.1,69.8,2649.0,1.4,0.03,471.0,10000.0,500.0
29,172.3,77.4,2483.0,4.0,0.71,721.0,10000.0,500.0
53,158.6,72.2,1371.0,5.0,0.94,491.2,1069.99,500.0
60,156.9,78.6,2340.0,2.0,0.06,662.2,10000.0,15184.584884713417
45,168.8,91.3,2906.0,1.0,0.44,662.0,1166.1,29132.162879314223
33,173.4,51.0,5731.125,3.6,0.42,777.0,519.12,15351.456734074622
26,164.8,99.3,1587.0,1.0,0.73,845.0,2302.248,500.0
23,177.3,71.7,1513.0,3.0,0.65,682.0,5000.0,500.0
42,179.2,76.7,2273.0,2.4,0.51,608.2,3529.94,11655.390877132537
45,171.0,58.3,3352.0,1.0,0.01,552.8,5000.0,500.0
52,171.4,76.8,2962.0,4.0,0.4,568.4,1042.69,500.0
26,177.4,34.3,3531.0,3.4,0.4,521.0,622.09,8280.067769939777
52,177.0,58.0,2014.0,3.2,0.29,570.4,5000.0,500.0
49,183.2,67.0,5607.0,3.0,0.4,775.0,4382.5199999999995,500.0
27,179.1,87.6,2099.0,3.0,0.38,758.2,5000.0,15284.764778404458
71,176.1,62.2,1534.0,5.0,0.05,525.8,10000.0,20138.50357849674
63,166.0,92.2,930.0,1.0,0.46,303.0,10000.0,8042.88785006186
55,192.3,70.9,3907.0,1.8,0.14,485.2,579.29,500.0
36,159.9,71.4,4632.0,3.0,0.41,526.0,54.98,16683.472226033566
60,163.5,111.05,500.0,2.4,0.22,487.6,5129.228,500.0
22,175.8,67.0,884.0,1.0,0.13,698.0,7105.95,500.0
72,160.5,77.5,2445.0,5.0,0.85,438.0,8072.4800000000005,500.0
51,175.3,60.4,2408.0,4.0,0.29,697.0,6147.692,2050.7157398082786
19,180.4,79.3,500.0,2.2,0.6,608.6,4097.54,15874.774716771984
26,167.9,68.5,2262.0,2.0,0.48,604.6,6000.0,500.0
59,146.9,48.7,2618.0,2.8,0.2,687.0,5000.0,8886.31357750079
46,188.4,71.2,2298.0,0.0,0.7,622.0,10000.0,500.0
19,176.1,41.6,3278.0,1.8,0.66,593.8,3620.626,2813.156186853146
34,175.5,94.5,2425.0,2.6,0.33,708.0,10000.0,23210.797866626606
70,170.6,53.7,3247.0,2.0,0.79,502.0,7072.414,5257.865301498262
68,172.7,75.0,1217.0,0.0,0.5,447.2,437.78,500.0
19,182.6,60.0,1382.0,1.0,0.97,460.0,1228.62,500.0
38,159.9,58.5,1866.0,3.0,0.94,612.6,10000.0,500.0
33,163.6,87.7,1517.0,1.0,0.06,460.4,4352.05,500.0
50,178.5,66.3,2501.0,2.2,0.6,458.0,567.95,24670.306600109925
34,175.5,82.6,3893.0,2.6,0.33,760.0,10000.0,7977.963403126492
62,155.3,67.3,1915.0,0.0,0.7,426.4,758.8,500.0
70,169.1,71.9,4917.0,3.8,0.53,607.0,10000.0,13179.96915777943
62,167.7,69.7,1393.0,2.0,0.99,584.0,4345.110000000001,500.0
46,160.3,69.1,5582.0,0.0,0.83,660.0,802.5,32624.624247843058
60,162.5,93.2,4456.0,2.8,0.44,545.0,930.0,20788.62505341787
73,170.0,59.7,4222.0,2.8,0.03,531.0,691.24,500.0
66,180.2,87.2,4100.0,0.0,0.21,743.0,5427.5199999999995,500.0
39,186.6,82.6,3149.0,3.0,0.85,600.0,688.67,22092.708515061127
29,161.9,57.4,2152.0,4.0,0.88,713.4,4301.388,500.0
37,153.9,57.1,2652.0,1.0,0.21,554.2,10000.0,500.0
49,186.6,65.8,1522.0,1.0,0.09,450.0,2723.5240000000003,500.0
22,164.1,45.9,1290.0,2.0,0.38,576.2,127.1,16857.98479163118
33,158.6,109.5,3351.0,0.0,0.18,577.4,10000.0,22455.43441767607
72,165.0,56.5,3613.0,4.0,0.21,749.0,5000.0,500.0
61,161.3,79.3,1664.0,3.8,0.85,525.8,10000.0,500.0
43,185.8,100.2,3269.0,4.0,1.0,470.0,3550.9299999999994,500.0
60,183.7,80.3,3928.0,1.8,0.11,754.0,7125.460000000001,34295.832598520334
58,162.8,79.3,3416.0,4.0,0.89,601.0,4148.742,18587.129442140165
22,188.2,104.0,3905.0,1.0,0.05,440.0,10000.0,18399.61442914501
33,156.2,68.3,4166.0,3.6,0.42,594.6,297.59,500.0
61,174.6,110.8,1552.0,1.6,0.9,485.8,748.17,500.0
48,169.2,76.4,1028.0,2.6,0.3,317.0,1018.92,500.0
54,172.7,73.8,3156.0,3.0,0.71,615.6,2527.072,500.0
47,151.2,62.3,2970.0,1.2,0.12,572.0,10000.0,500.0
72,169.0,77.0,1508.0,2.0,0.46,591.2,10000.0,500.0
48,168.0,97.0,4631.0,2.2,0.03,591.6,5000.0,36033.114778201976
74,186.0,102.9,1541.0,0.8,0.82,662.6,4258.228,37740.068058608034
45,164.5,82.7,2098.0,1.8,0.61,844.0,5000.0,500.0
32,167.6,61.5,4698.0,5.0,0.67,627.0,4379.942,30376.436480777666
70,161.9,106.7,1445.0,3.0,0.03,498.6,10000.0,500.0
30,162.9,66.1,1633.0,3.0,0.58,611.6,10000.0,2580.1153810490573
20,168.7,63.0,2761.0,3.8,0.85,488.4,5000.0,500.0
