nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,anciennete_compte_jours
White,Deborah,75.0,178.4,54.2,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2714.0,marié,2.0,0.88,734.0,10000.0,4704.9737016730005,1094.0
Cox,Hunter,39.0,190.1,82.8,F,oui,bac,Occitanie,non,oui,2783.0,veuf,1.0,0.83,357.0,577.66,12733.330382969947,1790.0
Hall,Charles,60.0,162.6,77.6,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,1788.0,divorcé,3.0,0.56,726.0,5000.0,10540.674784050036,509.0
Hale,Christopher,31.0,181.1,69.4,H,oui,master,Hauts-de-France,oui,oui,2600.0,divorcé,5.0,0.98,689.4,5000.0,6156.501558240514,317.0
Taylor,Stacy,26.0,159.7,99.5,H,non,doctorat,Occitanie,oui,non,3008.0,célibataire,4.0,0.05,484.0,5157.372,500.0,610.0
Martinez,David,28.0,160.2,92.5,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500.0,célibataire,0.0,0.4,805.0,5000.0,500.0,686.0
Wagner,Daniel,21.0,168.4,71.1,F,oui,doctorat,Hauts-de-France,oui,oui,3695.0,marié,3.0,0.17,777.0,5000.0,22775.8955135935,1429.0
Spencer,Lisa,70.0,172.9,70.9,F,oui,doctorat,Hauts-de-France,oui,oui,3304.0,marié,2.0,0.28,497.0,5000.0,8853.723228062805,441.0
Adams,Holly,42.0,185.9,57.8,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,897.0,célibataire,2.0,0.05,395.8,5000.0,11778.343548052928,314.0
Frank,Vanessa,62.0,184.7,67.1,F,oui,master,Île-de-France,non,oui,4278.0,célibataire,5.0,0.7,455.0,10000.0,31072.702663736723,1533.0
Yoder,Kristine,37.0,181.5,91.8,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3072.0,célibataire,3.0,0.56,373.0,6292.118,21531.409941811824,1522.0
Estrada,Marcus,34.0,174.5,75.3,H,non,aucun,Occitanie,oui,oui,2537.0,divorcé,0.0,0.97,415.6,10000.0,500.0,356.0
Coleman,Diana,37.0,164.1,74.1,F,non,master,Auvergne-Rhône-Alpes,non,non,4525.0,veuf,2.0,0.81,761.0,949.24,10946.391315339892,470.0
Robles,Robert,30.0,163.1,84.3,H,non,master,Bretagne,non,non,1295.0,veuf,2.0,0.52,427.2,6298.73,500.0,2153.0
Peterson,Catherine,75.0,176.9,66.4,F,oui,doctorat,Occitanie,oui,non,1859.0,célibataire,4.0,0.02,503.2,547.03,500.0,1631.0
Holland,Dorothy,34.0,181.6,66.8,H,oui,bac+2,Hauts-de-France,oui,oui,1566.0,célibataire,5.0,0.28,418.0,2600.3,1992.4825524566777,2133.0
Baker,Roy,55.0,172.2,91.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3929.0,marié,5.0,0.4,506.0,4232.708,15002.912094814255,300.0
Taylor,Michael,32.0,143.5,82.1,H,oui,aucun,Bretagne,oui,non,3770.0,divorcé,2.0,0.4,435.4,6186.382,500.0,1233.0
Diaz,Andres,71.0,175.2,71.9,H,oui,aucun,Corse,oui,non,4747.0,marié,1.0,0.12,400.0,5000.0,500.0,1967.0
Fields,Sarah,44.0,168.8,56.1,H,non,master,Normandie,oui,oui,3214.0,marié,2.0,0.82,402.0,4442.834,10488.968596578909,2160.0
Moore,Joseph,70.0,169.1,75.5,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4602.0,divorcé,3.0,0.36,619.4,4283.124,28770.26971420019,414.0
Nelson,Thomas,60.0,165.9,67.6,F,non,bac+2,Occitanie,non,non,3203.0,veuf,2.0,0.12,440.0,944.44,500.0,2034.0
Johnson,Scott,70.0,165.1,77.1,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3865.0,célibataire,3.0,0.52,505.4,1128.66,37282.162849122215,627.0
Beck,Ronald,54.0,180.3,75.4,H,oui,aucun,Normandie,non,oui,1851.0,marié,2.0,0.67,533.0,348.33,10767.439217607673,895.0
Weber,Abigail,61.0,160.7,83.0,H,oui,master,Occitanie,non,oui,1598.0,marié,2.0,0.39,321.0,10000.0,24759.669493278125,639.0
Herring,William,56.0,177.9,61.9,F,non,aucun,Bretagne,non,oui,1770.0,veuf,3.0,0.83,352.0,185.52,4161.441442592443,1233.0
Perez,Jeffrey,33.0,168.1,88.1,H,oui,master,Bretagne,non,oui,1083.0,marié,4.0,0.49,649.2,10000.0,20879.755904736496,1516.0
Watkins,Joshua,63.0,183.7,56.2,F,non,doctorat,Hauts-de-France,oui,oui,3127.0,marié,3.0,0.17,597.2,5000.0,14801.426364952236,1019.0
Nichols,Elizabeth,33.0,193.2,42.5,H,oui,bac,Normandie,oui,oui,3041.0,marié,1.0,0.66,620.2,627.58,11145.183005926978,1838.0
Barber,Jodi,34.0,163.0,81.6,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2741.0,divorcé,0.0,0.6,573.0,5167.93,500.0,1342.0
Garner,Samuel,47.0,167.4,59.2,F,oui,doctorat,Bretagne,oui,oui,3059.0,veuf,2.0,0.69,670.4,4556.640000000001,28698.200373046937,1509.0
Lopez,Kenneth,26.0,184.2,77.3,F,oui,aucun,Hauts-de-France,oui,oui,2663.0,marié,2.0,0.51,843.0,748.46,500.0,846.0
Rivera,Phillip,46.0,168.0,66.4,H,non,doctorat,Occitanie,oui,oui,3361.0,marié,3.0,0.65,618.2,10000.0,16872.53990370362,2045.0
Gonzalez,Karen,40.0,155.4,82.9,F,non,doctorat,Normandie,oui,non,2530.0,divorcé,2.0,0.7,454.0,10000.0,500.0,755.0
Bird,Dustin,43.0,177.3,83.2,H,oui,doctorat,Occitanie,non,oui,2660.0,veuf,4.0,0.53,837.0,926.62,37114.160550787055,2212.0
Maldonado,Jacqueline,55.0,168.4,80.0,H,oui,doctorat,Normandie,non,oui,500.0,marié,4.0,0.97,718.0,559.26,29358.177695611375,2006.0
West,Yvonne,18.0,158.6,77.5,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2023.0,marié,0.0,0.89,638.4,1032.32,500.0,1164.0
Wilson,Elizabeth,62.0,171.4,77.2,H,non,bac+2,Corse,non,oui,904.0,marié,5.0,0.29,561.0,1065.43,6712.726721442828,1683.0
Pugh,Stephanie,45.0,173.3,68.6,H,non,doctorat,Île-de-France,non,non,568.0,veuf,4.0,0.51,654.2,10000.0,500.0,986.0
Martinez,Isaac,29.0,175.2,69.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3624.0,veuf,0.0,0.21,514.0,1073.5,500.0,358.0
Cox,Curtis,30.0,170.6,54.3,F,oui,master,Occitanie,non,oui,2285.0,marié,3.0,0.07,663.0,5000.0,24341.030046911295,1640.0
Cooper,Timothy,74.0,159.7,95.8,H,non,master,Île-de-France,oui,oui,1823.0,veuf,0.0,0.26,555.4,5000.0,9958.305010076558,778.0
Hunter,Anna,42.0,173.8,71.8,F,oui,aucun,Bretagne,non,oui,2040.0,marié,3.0,0.29,521.0,10000.0,15699.8867602253,1254.0
Jenkins,Richard,23.0,177.7,66.9,H,non,aucun,Occitanie,oui,non,1059.0,célibataire,3.0,0.72,495.0,7000.0,500.0,1213.0
Nunez,Tonya,41.0,179.5,65.6,F,non,bac+2,Bretagne,non,oui,2321.0,marié,1.0,0.53,682.8,5000.0,15785.751255071553,1551.0
Hayes,Diane,30.0,179.1,71.9,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5481.0,divorcé,2.0,0.08,307.0,5000.0,22240.901666635506,471.0
Pierce,Kathryn,23.0,162.2,72.1,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,3627.0,veuf,2.0,0.77,667.6,2449.168,500.0,1264.0
Reed,David,74.0,171.8,61.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1216.0,divorcé,1.0,0.79,505.0,5000.0,11292.029477601953,512.0
Stark,Joshua,22.0,190.0,63.9,H,oui,bac,Bretagne,oui,oui,1731.0,divorcé,2.0,0.25,401.6,5000.0,4529.690297241665,1588.0
Conley,Julia,71.0,155.9,37.0,H,non,aucun,Occitanie,non,non,4762.0,marié,4.0,0.03,396.0,1486.62,500.0,1056.0
Clark,Melissa,41.0,175.3,73.0,F,oui,bac+2,Hauts-de-France,non,oui,3480.0,divorcé,3.0,0.86,623.2,10000.0,17264.275901828485,2223.0
Poole,Jennifer,18.0,168.4,73.9,F,non,aucun,Auvergne-Rhône-Alpes,non,non,4463.0,marié,1.0,0.15,747.0,5473.55,500.0,1218.0
Gregory,Alexandria,18.0,170.9,61.7,F,non,doctorat,Île-de-France,non,oui,1668.0,divorcé,3.0,0.83,514.0,1149.82,25390.88273988203,1115.0
Smith,Rhonda,36.0,193.8,73.4,H,non,bac,Bretagne,oui,oui,974.0,marié,1.0,0.18,620.2,650.62,500.0,1389.0
Martinez,Anthony,41.0,154.1,97.5,F,non,master,Bretagne,oui,oui,1993.0,divorcé,3.0,0.47,384.0,4616.918,1281.9229939424142,430.0
Barrett,Devin,59.0,156.8,75.3,H,non,aucun,Normandie,oui,oui,3359.0,célibataire,1.0,0.58,600.0,8000.0,500.0,2041.0
Rogers,David,18.0,162.9,79.1,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2863.0,marié,4.0,0.34,515.4,1064.25,4124.384923241231,2273.0
Ross,Mark,52.0,163.6,39.3,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2217.0,veuf,3.0,0.59,594.6,5000.0,1703.2091550614111,1361.0
Vargas,Gregory,44.0,159.6,84.8,F,oui,master,Île-de-France,oui,oui,3603.0,marié,2.0,0.34,574.6,4126.704,18161.86602584039,1006.0
Krueger,Heather,64.0,170.7,71.5,F,non,doctorat,Corse,non,non,3097.0,marié,3.0,0.83,648.8,5000.0,500.0,528.0
Reid,James,40.0,169.0,63.5,H,non,bac+2,Normandie,non,non,2140.0,célibataire,3.0,0.09,566.0,798.03,500.0,2244.0
Reed,Jill,73.0,178.7,79.1,F,non,bac,Hauts-de-France,oui,oui,2777.0,divorcé,3.0,0.32,358.0,1172.07,500.0,992.0
Castillo,Carl,56.0,181.1,72.0,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1075.0,marié,3.0,0.41,609.8,10000.0,10667.772211678155,2272.0
Miller,Danny,36.0,174.3,56.6,H,non,aucun,Bretagne,non,oui,3619.0,marié,1.0,0.43,538.0,10000.0,13279.43790734672,1165.0
Romero,Adrian,34.0,174.1,67.6,F,oui,bac+2,Corse,non,oui,2597.0,veuf,1.0,0.3,448.8,1552.97,14865.32774958236,873.0
Whitaker,Andrew,29.0,178.3,77.1,H,oui,aucun,Corse,non,oui,3152.0,célibataire,2.0,0.88,462.8,3676.65,2426.265552876417,2204.0
Perez,Amanda,25.0,164.8,42.6,F,non,aucun,Bretagne,non,oui,3243.0,célibataire,3.0,0.56,483.0,522.19,500.0,1876.0
Turner,Zachary,59.0,172.1,66.4,H,oui,doctorat,Normandie,oui,oui,1484.0,marié,3.0,0.25,486.0,5000.0,17717.330429437272,1202.0
Hansen,Jessica,41.0,165.8,82.8,H,oui,bac+2,Corse,non,oui,1797.0,divorcé,3.0,0.31,536.4,283.86,10146.957094539635,744.0
Reed,Andrea,74.0,151.8,51.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2986.0,divorcé,0.0,0.74,496.6,5000.0,11837.808210233152,1922.0
Bauer,Christopher,24.0,165.3,66.9,F,oui,aucun,Bretagne,non,oui,1930.0,marié,3.0,0.32,599.0,948.83,10379.81877962131,496.0
Anderson,Dawn,73.0,166.9,69.0,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,4771.0,veuf,0.0,0.47,630.0,5094.35,19719.5017886146,1921.0
Hawkins,Kathy,60.0,167.8,39.7,F,non,aucun,Occitanie,non,non,2600.0,marié,2.0,0.26,612.6,10000.0,500.0,928.0
Gilbert,Ashlee,22.0,189.5,92.8,F,non,bac+2,Normandie,non,non,1878.0,divorcé,4.0,0.93,492.8,5298.846,500.0,2054.0
Flowers,John,75.0,160.8,68.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4778.0,célibataire,0.0,0.64,614.0,5000.0,8980.312053464007,688.0
Stuart,Brittany,75.0,160.7,89.3,H,oui,bac,Île-de-France,oui,non,2248.0,célibataire,0.0,0.02,567.2,10000.0,500.0,1060.0
Cantu,Brian,41.0,163.7,84.2,F,non,bac,Hauts-de-France,oui,oui,3039.0,marié,2.0,0.92,539.6,883.63,500.0,1439.0
Mathews,Timothy,40.0,171.7,58.2,F,non,bac,Île-de-France,oui,non,1899.0,veuf,5.0,0.11,342.0,2468.4300000000003,500.0,1984.0
Coleman,Monica,39.0,163.6,40.5,H,non,aucun,Île-de-France,oui,non,3230.0,célibataire,3.0,0.31,507.2,10000.0,500.0,568.0
Santos,Zachary,47.0,179.2,67.9,H,oui,aucun,Île-de-France,non,oui,3789.0,divorcé,2.0,0.68,377.0,4094.9979999999996,18509.20677497533,2088.0
Li,Teresa,57.0,174.0,83.7,H,oui,bac,Corse,non,oui,4207.0,célibataire,1.0,0.78,718.0,4286.72,21549.82401911197,1025.0
Bailey,Jennifer,69.0,181.4,37.9,F,oui,bac,Île-de-France,oui,oui,1435.0,célibataire,3.0,0.24,304.0,6139.642,500.0,1691.0
Leon,Christopher,32.0,172.4,46.2,H,non,master,Corse,non,non,1861.0,marié,4.0,0.78,532.0,5000.0,500.0,2050.0
Horton,Katherine,74.0,179.6,79.9,F,oui,bac+2,Occitanie,oui,non,1998.0,divorcé,3.0,0.59,774.0,2310.4100000000003,500.0,1057.0
Campbell,Danielle,55.0,185.8,54.9,F,oui,doctorat,Normandie,oui,oui,602.0,veuf,4.0,0.35,641.0,10000.0,5428.047793885788,852.0
Bowers,Jennifer,40.0,177.6,85.5,F,oui,master,Normandie,oui,oui,3474.0,célibataire,4.0,0.71,496.0,1278.27,16752.789752354092,1847.0
Fox,Thomas,56.0,160.5,66.6,F,non,doctorat,Bretagne,non,oui,1908.0,marié,5.0,0.47,318.0,5000.0,20423.84320730014,458.0
Simpson,Curtis,57.0,176.5,77.0,H,non,doctorat,Corse,oui,oui,1176.0,marié,0.0,0.32,605.0,2494.1539999999995,500.0,2095.0
Porter,Kenneth,38.0,160.2,57.8,F,non,aucun,Hauts-de-France,oui,oui,3112.0,divorcé,3.0,0.7,822.0,623.38,500.0,1923.0
Cabrera,Sharon,33.0,167.5,38.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2377.0,veuf,2.0,0.44,646.0,5000.0,18901.259369115334,1407.0
Smith,John,48.0,156.8,77.6,H,oui,doctorat,Île-de-France,oui,oui,4010.0,veuf,2.0,0.57,702.2,10000.0,39913.545442220304,301.0
King,Nancy,59.0,174.4,62.1,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2448.0,veuf,3.0,0.33,507.0,10000.0,500.0,2191.0
Harris,Scott,41.0,172.6,62.4,F,non,bac+2,Île-de-France,oui,non,4319.0,célibataire,5.0,0.08,527.6,9000.0,500.0,2249.0
Paul,Jason,43.0,153.2,69.8,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4897.0,veuf,0.0,0.27,768.0,10000.0,35962.04802835945,923.0
Andrade,Richard,45.0,168.0,58.7,F,non,bac,Provence-Alpes-Côte d’Azur,non,non,4231.0,marié,2.0,0.06,485.2,5000.0,500.0,1634.0
Rivers,Derrick,61.0,167.0,57.3,H,non,doctorat,Normandie,oui,oui,2261.0,marié,2.0,0.73,762.0,734.6,24528.67112085739,1167.0
Smith,Rachel,21.0,162.0,79.6,H,non,aucun,Hauts-de-France,oui,oui,645.0,veuf,4.0,0.03,818.0,10000.0,500.0,441.0
Bryant,Ashley,22.0,160.4,73.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,3191.0,veuf,2.0,0.74,667.6,10000.0,3639.7413556351794,2239.0
Smith,Cody,75.0,147.7,54.3,F,non,master,Bretagne,non,non,2452.0,marié,4.0,0.49,380.0,7191.37,500.0,828.0
Stein,Alicia,60.0,164.2,79.5,H,oui,master,Île-de-France,non,oui,2571.0,marié,2.0,0.41,554.2,10000.0,33049.468422152735,2170.0
Cummings,Scott,44.0,150.0,57.9,F,non,bac+2,Hauts-de-France,non,oui,4154.0,célibataire,3.0,0.76,574.8,5000.0,10656.8885958248,1527.0
Shepherd,Elizabeth,21.0,179.9,48.9,F,oui,bac+2,Occitanie,non,non,969.0,marié,3.0,0.02,563.0,731.72,500.0,478.0
Crawford,Joseph,29.0,178.0,76.3,H,non,bac,Île-de-France,oui,oui,3121.0,célibataire,1.0,0.72,701.0,5000.0,7051.1771065952,1354.0
Bailey,Victoria,25.0,166.1,82.6,F,non,master,Occitanie,non,non,3384.0,divorcé,2.0,0.65,630.0,10000.0,500.0,2062.0
Beard,Joshua,68.0,185.4,56.5,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2285.0,célibataire,1.0,0.21,792.0,10000.0,2724.9198051534495,1925.0
Patton,Debbie,27.0,157.7,52.5,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2483.0,marié,2.0,0.99,666.0,33.29,26282.620988748466,398.0
Gonzalez,Kara,72.0,157.2,64.2,F,non,bac,Hauts-de-France,non,oui,2466.0,veuf,2.0,0.16,801.0,6200.59,5070.610961595275,1529.0
Mayer,Rebecca,72.0,162.2,54.9,F,oui,doctorat,Bretagne,non,non,2684.0,veuf,2.0,0.78,692.8,5000.0,15080.08702060483,1572.0
Miller,Kevin,35.0,178.6,70.5,H,oui,aucun,Hauts-de-France,non,oui,4243.0,veuf,2.0,0.02,359.0,10000.0,14306.900020371317,1314.0
Barber,Adam,44.0,154.9,67.5,F,non,bac,Occitanie,non,oui,2265.0,marié,2.0,0.22,570.8,10000.0,6693.74203294808,712.0
Jackson,Kelly,23.0,153.4,74.9,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3055.0,célibataire,1.0,0.35,385.0,4503.966,1798.0125221383746,2109.0
Warren,Paul,42.0,170.7,87.0,F,oui,doctorat,Île-de-France,non,non,1203.0,marié,2.0,0.38,500.0,6372.972,10497.778053549608,660.0
Koch,Dylan,62.0,165.3,86.1,F,non,aucun,Corse,oui,non,4340.0,célibataire,2.0,0.7,698.0,1004.67,500.0,1557.0
Dawson,Mariah,23.0,170.3,91.7,F,non,aucun,Corse,non,oui,1676.0,marié,3.0,0.04,657.0,10000.0,500.0,1309.0
Elliott,Madison,23.0,170.8,46.7,H,oui,bac+2,Bretagne,oui,oui,531.0,divorcé,1.0,0.96,546.8,8000.0,500.0,1924.0
Guzman,Wanda,22.0,157.9,31.8,H,non,bac+2,Bretagne,oui,oui,1733.0,marié,3.0,0.64,573.6,1411.64,6372.475344505444,351.0
Miller,Matthew,37.0,166.2,85.2,F,oui,bac,Île-de-France,non,oui,2743.0,divorcé,5.0,0.49,583.8,3403.228,16741.9804046619,1691.0
Kennedy,Matthew,27.0,160.6,71.5,F,oui,doctorat,Occitanie,non,oui,500.0,veuf,2.0,0.23,648.2,5136.246,14504.604268333092,532.0
Ward,Sharon,49.0,156.9,68.6,H,non,bac+2,Corse,non,oui,1711.0,veuf,5.0,0.53,708.0,6246.806,500.0,1384.0
